Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR13060070_1										5.255130338325014	1.199389905712701	4.356165649842855	1.340358661490109	15.321686078757626	0.0	67.98622665927158
SRR13060070_2										7.039193936032538	2.5697910889258644	7.575337400628582	4.608060639674616	12.705675725642449	20.41504899242004	33.38648548715105
SRR13060071_1										4.400186816119563	1.4077929009874566	1.5579129970643182	1.984921270349613	34.397518014411524	0.0	52.14171337069655
SRR13060071_2										10.274886575927408	3.2626100880704563	5.791299706431812	0.0	20.956765412329865	40.87603416066186	0.0
SRR13060072_1										5.475219379557533	1.6314423433444567	8.643348576607753	12.565401886870184	27.444073662093682	0.0	37.37280105466979
SRR13060072_2										8.83285955588514	3.6501462530383555	10.802125818811025	8.464137107073704	24.275944465043466	0.0	25.19672063609772
SRR13060073_1										5.688085736065647	2.3676068337742704	9.826913591318775	4.587238240437649	19.156091655082733	14.501591856867405	37.64853594009237
SRR13060073_2										9.046679521097708	3.497601004439263	9.562351464059908	11.90529572664903	8.075871037173222	11.331330433612843	27.51894533877405
SRR13060074_1										4.566283463300908	2.283141731650454	8.821046707934721	1.0591687434681245	7.88045662834633	19.57954819519254	51.64402283141732
SRR13060074_2										8.057319720234746	3.131280649569901	10.272127984564676	4.909960607765897	12.267867191896455	12.7984564675617	33.77683093496262
SRR13060076_1										4.4056116170317505	2.6285995569776026	5.951267536303225	9.168102387398475	15.013536795471328	55.85035687915334	0.0
SRR13060076_2										11.479202559684962	5.446714250553778	13.662318483878908	6.970219049963082	28.190991877922716	0.0	0.0
SRR13060077_1										5.103643216080402	3.0339195979899496	4.528894472361809	0.0	4.789572864321609	27.798366834170857	50.775753768844226
SRR13060077_2										8.234924623115578	6.331658291457286	12.98680904522613	4.233668341708543	12.69786432160804	0.0	35.53706030150754
SRR13060078_1										5.088836605549245	2.2919032938503974	8.153496673697875	3.0869706311861105	13.753447996105791	14.443047217264319	48.11374330683108
SRR13060078_2										7.490264481583645	3.131591757261074	12.06595813727081	4.212639948077236	23.967629401265615	0.0	32.68294661690735
SRR13060079_1										4.927048260381594	3.0549943883277217	4.383838383838383	1.876543209876543	14.123456790123456	35.84287317620651	29.5959595959596
SRR13060079_2										7.849607182940516	3.22334455667789	8.965207631874298	7.694725028058362	20.895622895622896	15.214365881032549	22.78114478114478
